hash,predict,answer
0f9fdf84-6a4c-5b19-9f24-2d4a3a691eb4,4,7
2cea4a6d-84e9-5cb8-97b1-a54627516dec,5,6
1c5aa897-30f8-5419-a9df-0a258640de54,4,4
0d242baa-ea33-5b64-8af9-c3caa904c8ef,5,5
0c8e7db0-63d2-54a7-a7a4-043544dde0b6,5,3
1ab19538-ea93-55f8-8cf8-e6f52a3772e2,6,5
0df0ea65-ef05-5015-b7e7-55bcc5e987fc,5,4
1b59cad8-d75a-5b2d-8f93-b8bd98f8b387,5,5
3a267c52-362f-52f8-b0c4-6d52d66f5838,0,6
1da00dcc-409f-5fa4-99f2-38b7fe00b048,4,4
0c87ffd8-7ca6-5afb-a108-bcd0fba236a8,3,3
0a3aa518-70a3-5e05-82e2-0c20d43b49af,5,5
0cf0fe33-8ac0-59b7-a9da-117d751ded61,5,1
0df35acb-6a6d-5bf7-baf8-7fd116efae02,2,7
0b63cfd2-519a-50c5-9df9-fa3a0178689f,4,4
3c48667a-b374-59d8-a3e9-d7a6229212ac,4,6
4f27feba-7cca-5f8c-8994-a0db5d9cf66c,0,1
0c0ead0e-0dd0-534e-873a-dc19c54510a9,2,7
3e91f8df-0f1c-5405-ac03-192f102a682e,5,1
0bec4000-c072-54d1-9aea-6f8b189c1781,3,5
1c74243b-ef78-5ea3-87be-4aa715e17e28,4,1
1df419a7-cfe3-5eca-a911-42637a5eff8c,4,4
1a1e614a-a6a4-5985-add6-cf9527351a5a,6,7
4cc52a37-21a6-5e3d-8790-399bf082f567,5,1
1ac849d8-948d-5157-9712-42ebdb8b4c9a,0,0
1b41ebf6-67f3-5602-8131-b3d2ece88666,5,3
1c28dd05-b88b-5b85-91a6-a3c415f07902,5,2
03abf1cb-7f2f-5373-8ddf-8cce3857897e,4,2
2d2aa393-b0a9-52c5-9987-1634f134665d,6,0
0c8f5504-cd3b-5c66-969d-06466c139bf0,5,5
1df9e224-f9eb-56b0-8e3e-866e4e0ac85d,5,4
1c154078-045d-597a-9a8e-61d986eb442e,6,0
3e428590-b773-569f-a023-0cf91cffed4e,6,6
3be1a350-2ccd-5062-892c-0c502587b3f9,6,6
2f4d8894-cdd3-517d-901e-397e70729414,1,2
2dc0b687-3e89-56bb-9d6a-cac56b4f080b,1,1
1d256d11-1d74-50f0-b6e4-2322a18417a8,4,1
1fd9762c-4eb3-51d4-867d-6ef9045ddf42,5,5
03fbfc74-89e2-59c5-922c-91f47fb16b29,4,2
0afd02ed-5244-5fe3-bde8-808f35f4ba3d,5,2
1ed4f169-17e4-5101-8ce3-2ebc48169d11,4,0
2d9efce9-c649-5dfb-8625-46fbb905dd0a,0,2
0e237801-cdb6-5b4a-a2a4-35645f8c5234,4,4
00b8a056-d99d-59de-b47e-9ede147cfdbf,3,3
0ee46965-664d-5763-9b93-110e4f3c9c17,6,4
1b7b4582-144a-51f1-a7a0-65a4ebae2d6a,1,1
3f33487b-c455-5c4d-8635-3a0dde512d4d,5,3
0f9b41bf-f455-520b-86c6-1f365c106338,5,7
4c119fc1-8a0b-5e01-9212-179fd192d0de,5,3
0d3243b4-6ef4-5ddc-8fc6-45f3e62ab1e4,0,4
0ed4e869-144c-5086-917d-be6a468ae0db,2,7
1cd8c2dd-cf32-5385-8735-c93445d07757,4,4
1ebb74ec-e623-51a8-b986-e2e7485f62a1,3,3
1b07a583-94ba-5bf7-9ec4-66aca9c9c38f,5,3
0ee25079-4ee6-5ddb-b303-4b0bb2ad6e60,5,5
1cc5c971-95e5-586d-9990-12c43094d21a,1,1
1d0c2fb1-1fc0-5aaa-b6a3-322b2462b8ab,0,0
0d2d3c5f-d702-5b09-922b-9219fbad8da6,6,6
1e1216ee-5678-5071-8bec-c99ca2e46266,0,0
3dd590f1-9ca1-5fb9-bffe-6a19c0fd14b2,4,6
3a222b51-b8fb-5089-9a84-96021fea9e9d,0,2
1a0642ba-3190-536d-808e-432da57dcf98,4,3
0f453786-1ea8-5fb7-b000-8a8040f50e95,1,7
